Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
5.303828024864196777e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.864099999999999824e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.403947949409484863e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.859199999999999875e+01,2.673499999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.504096794128417969e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.873900000000000077e+01,2.673499999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.604180932044982910e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.873900000000000077e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.704242491722106934e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.893499999999999872e+01,2.663700000000000045e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.804287004470825195e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.893499999999999872e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.904355382919311523e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.888599999999999923e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.004457950592041016e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.903200000000000003e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.104500889778137207e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.917899999999999849e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.204568862915039062e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.908099999999999952e+01,2.673499999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.304598951339721680e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.932600000000000051e+01,2.673499999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.404622602462768555e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.912999999999999901e+01,2.658800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.504727268218994141e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.932600000000000051e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.604813361167907715e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.942299999999999827e+01,2.673499999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.704886937141418457e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.937399999999999878e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.804944157600402832e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.942299999999999827e+01,2.658800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.905060267448425293e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.937399999999999878e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.005099797248840332e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.952100000000000080e+01,2.668599999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.105145430564880371e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.961899999999999977e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.205229258537292480e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.957000000000000028e+01,2.693100000000000094e+01,2.300000000000000000e+01,2.300000000000000000e+01
