Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.683299999999999841e+01,2.673499999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000225782394409180e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.688200000000000145e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.052732229232788086e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.693100000000000094e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.054519653320312500e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.702799999999999869e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.055558919906616211e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.693100000000000094e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.056448459625244141e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.683299999999999841e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.056888341903686523e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.688200000000000145e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.057173967361450195e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.688200000000000145e+01,2.673499999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.057993650436401367e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.668599999999999994e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.005890655517578125e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.678399999999999892e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.105944108963012695e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.678399999999999892e+01,2.697899999999999920e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.206074166297912598e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.683299999999999841e+01,2.668599999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.306195878982543945e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.673499999999999943e+01,2.668599999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.406279921531677246e+01,0.000000000000000000e+00,2.000000000000000000e+01,2.678399999999999892e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
