Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
9.107451224327087402e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.396900000000000119e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.207527518272399902e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.416400000000000148e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.307660031318664551e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.416400000000000148e+01,2.888599999999999923e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.407762050628662109e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.431099999999999994e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.507841563224792480e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.426200000000000045e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.607874178886413574e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.426200000000000045e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.707895731925964355e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.431099999999999994e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.808070302009582520e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.450600000000000023e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.908097124099731445e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.445700000000000074e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000819656848907471e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.440899999999999892e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.010823621749877930e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.460399999999999920e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.020830795764923096e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.460399999999999920e+01,2.893499999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.030838987827301025e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.475099999999999767e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.040842950344085693e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.484799999999999898e+01,2.898300000000000054e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.050852272510528564e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.479999999999999716e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.060856907367706299e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.475099999999999767e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.070865244865417480e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.489699999999999847e+01,2.912999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.080876660346984863e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.475099999999999767e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.090888550281524658e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.499499999999999744e+01,2.922800000000000153e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.100893156528472900e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.484799999999999898e+01,2.922800000000000153e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.110896468162536621e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.499499999999999744e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.120901699066162109e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.499499999999999744e+01,2.908099999999999952e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.130915014743804932e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.523899999999999721e+01,2.922800000000000153e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.140923790931701660e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.514200000000000301e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.150934073925018311e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.533700000000000330e+01,2.937399999999999878e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.160938420295715332e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.523899999999999721e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.170952429771423340e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.543500000000000227e+01,2.922800000000000153e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.180960578918457031e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.553300000000000125e+01,2.932600000000000051e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.190969903469085693e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.553300000000000125e+01,2.903200000000000003e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.200981543064117432e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.548400000000000176e+01,2.917899999999999849e+01,2.300000000000000000e+01,2.300000000000000000e+01
